Categoría,Total Mercados,Activos,Cerrados,% Activos
Sin categoría,432361,432361,405106,100.00%
Sports,2552,2552,2552,100.00%
Crypto,374,374,374,100.00%
US-current-affairs,361,361,361,100.00%
Pop-Culture ,218,218,218,100.00%
Coronavirus,153,153,153,100.00%
Business,137,137,137,100.00%
NBA Playoffs,126,126,126,100.00%
NFTs,114,114,114,100.00%
Chess,77,77,77,100.00%
Art,61,61,61,100.00%
Global Politics,58,58,58,100.00%
Science,51,51,51,100.00%
Ukraine & Russia,46,46,46,100.00%
Olympics,19,19,19,100.00%
Poker,7,7,7,100.00%
Tech,7,7,7,100.00%
Space,4,4,4,100.00%
Coronavirus-,1,1,1,100.00%
Politics,1,1,1,100.00%
